"Año","1","2","3","4","5","6"
"1975","6","","","","",""
"1976","4","","","","",""
"1979","5","","","","",""
"1980","2","1","","","",""
"1981","7","","","","",""
"1982","2","2","","","",""
"1983","1","","","","",""
"1984","12","3","","","",""
"1987","2","1","1","","",""
"1988","16","","","","",""
"1989","3","1","","","",""
"1990","29","2","","","",""
"1991","3","","","","",""
"1992","13","3","","","",""
"1993","1","","","","",""
"1994","20","5","3","2","",""
"1995","11","3","","","",""
"1996","24","1","1","","",""
"1997","13","5","2","","",""
"1998","6","3","1","","",""
"1999","40","16","5","","1",""
"2000","19","15","4","2","",""
"2001","47","28","2","","","2"
"2002","66","27","10","","",""
"2003","52","14","6","2","",""
"2004","48","17","3","2","",""
"2005","46","15","7","2","",""
"2006","48","19","10","1","",""
"2007","78","32","10","1","",""
"2008","141","37","10","3","",""
"2009","185","47","18","5","",""
"2010","212","46","26","3","",""
"2011","242","104","31","4","",""
"2012","365","106","25","6","",""
"2013","315","90","33","9","",""
"2014","573","189","66","7","",""
"2015","696","250","59","11","",""
"2016","981","344","87","8","",""
"2017","1281","351","82","20","",""
"2018","2362","596","134","14","",""
"2019","2532","542","131","13","",""
"2020","2839","801","131","12","",""
"2021","4120","1018","72","","",""
"2022","3795","811","","","",""
