"Cursos","Total Repitencias"
" GESTIÓN CULTURAL","1"
" HISTORIA DEL ARTE PERUANO I (PERÚ ANTIGUO)","1"
" HISTORIA GENERAL DEL ARTE","1"
" MÉTODOS NUMÉRICOS","9"
"ABASTE. DE AGUA Y ALCANTARILLADO","2"
"ABASTECIMIENTO DE AGUA Y SANEAMIENTO","1"
"ACCION COLECTIVA Y MOVIMIENTOS SOCIALES","5"
"ACREDITACIÓN IDIOMA INGLES","6"
"ACREDITACIÓN IDIOMA INGLÉS","1"
"ACREDITACIÓN OTRO IDIOMA EXTRANJERO","4"
"ACTIVIDADES","1"
"ACTIVIDADES - CULTURALES","1"
"ACTIVIDADES ATLÉTICAS Y SU DIDÁCTICA","16"
"ACTIVIDADES DEPORTIVAS PARA PERSONAS CON DISCAPACIDAD","1"
"ACTIVIDADES EN EL MEDIO ACUÁTICO Y SU DIDÁCTICA","6"
"ACTIVIDADES RECREATIVAS","4"
"ACUICULTURA GENERAL","3"
"ADMINISTRACION  EMPRESARIAL","2"
"ADMINISTRACIÓN DE EMPRESAS VETERINARIAS","2"
"ADMINISTRACIÓN DE LA CALIDAD","3"
"ADMINISTRACION DE LA PRODUCCION METALURGICA","1"
"ADMINISTRACIÓN DE NEGOCIOS B","1"
"ADMINISTRACIÓN DE OPERACIONES II","3"
"ADMINISTRACIÓN DE PRODUCTOS","2"
"ADMINISTRACIÓN DE SERVICIOS DE TERAPIA OCUPACIONAL","1"
"ADMINISTRACION DE SISTEMA DE PRODUCCION","2"
"ADMINISTRACIÓN DE UNIDADES DE INFORMACIÓN I","1"
"ADMINISTRACIÓN EMPRESARIAL","3"
"ADMINISTRACION EN SERVICIOS PSICOLOGICOS","1"
"ADMINISTRACION ESTRATEGICA","15"
"ADMINISTRACIÓN ESTRATÉGICA","13"
"ADMINISTRACIÓN ESTRATÉGICA Y OPERATIVA DEL PATRIMONIO ARQUEOLÓGICO","1"
"ADMINISTRACIÓN FINANCIERA I","1"
"ADMINISTRACIÓN GENERAL DE LA EDUCACIÓN FÍSICA Y EL DEPORTE","10"
"ADMINISTRACION GENERAL I","16"
"ADMINISTRACIÓN GENERAL I","4"
"ADMINISTRACION GENERAL II","15"
"ADMINISTRACIÓN GENERAL II","4"
"ADMINISTRACIÓN PARA INGENIERÍA","19"
"ADMINISTRACION PUBLICA","1"
"ADMINISTRACIÓN PUBLICA Y PRIVADA","3"
"ADMINISTRACIÓN Y GESTION DE EMPRESAS VETERINARIAS","2"
"ADMINISTRACIÓN Y GESTIÓN DE SERVICIOS PSICOLÓGICOS","1"
"ADMINISTRACION Y GESTION EMPRESARIAL","2"
"ADMINISTRACIÓN Y GESTIÓN EMPRESARIAL","1"
"ADMINISTRACIÓN Y GESTIÓN PUBLICA","2"
"ADMINISTRACIÓN Y LIDERAZGO EN ENFERMERÍA","1"
"ADMINISTRACION Y MARKETING","1"
"ADQUISICIÓN, ADMINISTRACIÓN Y ESTRATÉGIA DE SISTEMAS DE INFORMACIÓN","3"
"AERODINÁMICA","4"
"AGENTES CONTAMINANTES, PREVENCIÓN AMBIENTAL Y RESTAURACIÓN","2"
"AGENTES FÍSICOS TERAPÉUTICOS","1"
"AGROINDUSTRIAS","7"
"AGRONEGOCIOS Y CADENAS PRODUCTIVA","2"
"AGROSTOLOGÍA","1"
"AGROTECNIA GENERAL","4"
"ALEMAN I","1"
"ÁLGEBRA","3"
"ÁLGEBRA I","6"
"ALGEBRA II","11"
"ÁLGEBRA II","2"
"ÁLGEBRA III","4"
"ALGEBRA LINEAL","40"
"ÁLGEBRA LINEAL","55"
"ÁLGEBRA LINEAL APLICADO A LA ESTADÍSTICA","5"
"ALGEBRA LINEAL I","43"
"ALGEBRA LINEAL II","18"
"ÁLGEBRA Y GEOMETRÍA ANALÍTICA","280"
"ALGEBRA Y GEOMETRÍA ANALITICA II","48"
"ALGORÍTMICA I","21"
"ALGORÍTMICA II","20"
"ALGORÍTMICA III","15"
"ALGORÍTMICA Y FUNDAMENTOS DE PROGRAMACIÓN","14"
"ALGORÍTMICA Y PROGRAMACIÓN ORIENTADA A OBJETOS","23"
"ALGORITMO Y ESTRUCTURA DE DATOS EN I.O.","5"
"ALGORITMO Y PROGRAMACION","1"
"ALGORITMOS Y ESTRUCTURA DE DATOS","2"
"ALGORITMOS Y PROGRAMACION","2"
"ALGORITMOS Y PROGRAMACIÓN","100"
"ALIMENTACIÓN ANIMAL","3"
"ALIMENTACIÓN Y DIETÉTICA","4"
"ALIMENTACIÓN Y NUTRICIÓN HUMANA","1"
"ALTA TENSION","3"
"AMÉRICA BAJO EL DOMINIO EUROPEO (XVI-XVII)","3"
"AMÉRICA CONTEMPORÁNEA (1930-ACTUALIDAD)","5"
"AMÉRICA PRECOLOMBINA","6"
"AMÉRICA: INDEPENDENCIA Y REPÚBLICA (1808-1930)","11"
"ANÁLISIS ARQUITECTÓNICO Y MODELAMIENTO ESPACIAL","7"
"ANÁLISIS BAYESIANO","1"
"ANÁLISIS CLÍNICOS I","1"
"ANÁLISIS CLÍNICOS II","5"
"ANALISIS COMPLEJO","1"
"ANÁLISIS COMPLEJO","6"
"ANÁLISIS CUANTITATIVO EN ARQUEOLOGÍA","10"
"ANÁLISIS DE COSTOS","4"
"ANALISIS DE COSTOS DE MINADO","1"
"ANALISIS DE CUENCAS SEDIMENTARIAS","1"
"ANÁLISIS DE EE.FF.","2"
"ANÁLISIS DE HILOS Y TELAS","5"
"ANÁLISIS DE LA OCUPACIÓN","1"
"ANÁLISIS DE LA REALIDAD NACIONAL","1"
"ANÁLISIS DE MATERIAL LÍTICO","1"
"ANÁLISIS DE MATERIAL ORGÁNICO","3"
"ANÁLISIS DE MATERIAL TEXTIL","1"
"ANÁLISIS DE MATERIALES ORGÁNICOS","3"
"ANÁLISIS DE MENSAJES AUDIOVISUALES","4"
"ANALISIS DE PRODUCTOS AGROINDUSTRIALES","3"
"ANÁLISIS DE PRODUCTOS AGROINDUSTRIALES","33"
"ANÁLISIS DE REGRESIÓN","2"
"ANALISIS DE SISTEMA DE POTENCIA   I","24"
"ANÁLISIS DE SISTEMA DE POTENCIA I","8"
"ANALISIS DE SISTEMA DE POTENCIA II","9"
"ANALISIS DE SISTEMA POTENCIA II","8"
"ANÁLISIS DE SISTEMAS","3"
"ANALISIS DE SISTEMAS DE INFORMACIÓN","8"
"ANÁLISIS DE SISTEMAS DE INFORMACIÓN","5"
"ANÁLISIS DE TEXTOS FILOSÓFICOS","1"
"ANÁLISIS DEL DISCURSO","2"
"ANÁLISIS DEL DISCURSO PERIODÍSTICO","2"
"ANÁLISIS DEL MATERIAL CERÁMICO","5"
"ANÁLISIS DEL PENSAMIENTO ECONÓMICO","28"
"ANALISIS E INTERPRETACION DE INFORMACIÓN FINANCIERA","20"
"ANÁLISIS E INTERPRETACIÓN DE INFORMACIÓN FINANCIERA","5"
"ANÁLISIS ECONÓMICO","2"
"ANALISIS ECONOMICO DE LOS TRIBUTOS","1"
"ANÁLISIS ECONÓMICO DE LOS TRIBUTOS","4"
"ANALISIS ECONOMICO DEL DERECHO (DERECHO Y ECONOMÍA)","8"
"ANÁLISIS ESTADÍSTICO","9"
"ANÁLISIS ESTADÍSTICO DE DATOS EN SALUD","1"
"ANALISIS ESTRUCTURAL","2"
"ANÁLISIS ESTRUCTURAL","2"
"ANALISIS ESTRUCTURAL I","9"
"ANALISIS ESTRUCTURAL II","12"
"ANÁLISIS FINANCIERO","18"
"ANALISIS FISICO-QUIMICO Y MICROBIOLOGICO DE ALIMENTOS","11"
"ANALISIS FUNCIONAL","3"
"ANÁLISIS FUNCIONAL","1"
"ANÁLISIS FUNCIONAL I","3"
"ANÁLISIS HISTÓRICO DE LA SOCIEDAD","3"
"ANALISIS INSTRUMENTAL","1"
"ANÁLISIS INSTRUMENTAL I","2"
"ANÁLISIS LÍTICO","7"
"ANÁLISIS MATEMÁTICO II","1"
"ANÁLISIS MATEMÁTICO III","1"
"ANÁLISIS MATEMÁTICO IV","1"
"ANALISIS MINERAL CUANTITATIVO","19"
"ANALISIS NUMERICO","3"
"ANALISIS NUMÉRICO","1"
"ANALISIS POLITICO I","3"
"ANÁLISIS POLÍTICO I","2"
"ANALISIS POLITICO II","7"
"ANALISIS POR INSTRUMENTACION I","2"
"ANALISIS POR INSTRUMENTACION II","2"
"ANALISIS QUIMICO","2"
"ANÁLISIS QUÍMICO E INSTRUMENTAL","18"
"ANÁLISIS QUÍMICO POR INSTRUMENTACIÓN","3"
"ANÁLISIS REAL","32"
"ANALISIS REAL I","2"
"ANÁLISIS REAL I","17"
"ANALISIS REAL II","1"
"ÁNALISIS REAL II","1"
"ANALISIS REAL III","2"
"ANÁLISIS SOCIAL DE LA EMPRESA","3"
"ANÁLISIS TEXTIL","1"
"ANALISIS VECTORIAL Y TENSORIAL","44"
"ANÁLISIS Y CONTROL DE CALIDAD DE ALIMENTOS","2"
"ANÁLISIS Y DISEÑO DE ALGORITMOS","5"
"ANALISIS Y DISEÑO DE SIST.DE INFORMACION","2"
"ANÁLISIS Y EVALUACIÓN DE PUESTOS","1"
"ANATOMÍA ANIMAL","18"
"ANATOMIA ESTOMATOLOGICA","11"
"ANATOMÍA FUNCIONAL Y BIOMECÁNICA","25"
"ANATOMIA GENERAL","12"
"ANATOMÍA GENERAL Y ESPECIALIZADA EN OBSTETRICIA","35"
"ANATOMÍA HUMANA","67"
"ANATOMÍA HUMANA FUNCIONAL","8"
"ANATOMIA REGIONAL E IMAGENOLOGÍA VETERINARIA","2"
"ANATOMÍA SECCIONAL EN IMÁGENES MÉDICAS","2"
"ANATOMÍA Y FISIOLOGÍA","8"
"ANATOMIA Y FISIOLOGIA DE LA OCLUSION","1"
"ANDRAGOGÍA, ACTIVIDAD FÍSICA Y SALUD","5"
"ANESTESIA VETERINARIA","16"
"ANESTESIOLOGÍA, CIRUGÍA MENOR E INSTRUMENTACIÓN EN OBSTETRICIA","5"
"ANTENAS","1"
"ANTENAS Y MEDIOS DE TRANSMISION","1"
"ANTEPROYECTO DE INVESTIGACION","3"
"ANTIBIOTICOTERAPIA","1"
"ANTIGÜEDAD CLÁSICA","32"
"ANTROPOLOGÍA","2"
"ANTROPOLOGÍA AMAZÓNICA","20"
"ANTROPOLOGÍA ANDINA","27"
"ANTROPOLOGÍA APLICADA A LA NUTRICIÓN","5"
"ANTROPOLOGÍA CULTURAL","1"
"ANTROPOLOGÍA CULTURAL Y GÉNERO","4"
"ANTROPOLOGÍA DE LA ALIMENTACIÓN","7"
"ANTROPOLOGÍA DE LA ECONOMÍA","11"
"ANTROPOLOGÍA DE LA EDUCACIÓN","5"
"ANTROPOLOGÍA DE LA SALUD","3"
"ANTROPOLOGÍA DE LAS EDADES","3"
"ANTROPOLOGÍA DEL ARTE","5"
"ANTROPOLOGÍA DEL DESARROLLO","3"
"ANTROPOLOGÍA DEL ESTADO","5"
"ANTROPOLOGÍA DEL GÉNERO","3"
"ANTROPOLOGÍA DEL PODER Y DEL ESTADO","14"
"ANTROPOLOGÍA E HISTORIA","8"
"ANTROPOLOGÍA ECOLÓGICA","9"
"ANTROPOLOGÍA ECONÓMICA","1"
"ANTROPOLOGIA FILOSOFICA","8"
"ANTROPOLOGÍA FÍSICA","1"
"ANTROPOLOGIA FORENSE","1"
"ANTROPOLOGÍA FORENSE","4"
"ANTROPOLOGÍA GENERAL","14"
"ANTROPOLOGÍA HISTÓRICA","11"
"ANTROPOLOGÍA JURÍDICA","9"
"ANTROPOLOGÍA LATINOAMERICANA","12"
"ANTROPOLOGÍA PERUANA","25"
"ANTROPOLOGIA POLITICA","7"
"ANTROPOLOGÍA POLÍTICA","7"
"ANTROPOLOGÍA SOCIOCULTURAL","1"
"ANTROPOLOGÍA URBANA","19"
"ANTROPOLOGIA VISUAL","4"
"ANTROPOLOGÍA, DEONTOLOGÍA Y ÉTICA","2"
"APLICACIÓN DE ARQUITECTURA EMPRESARIAL","2"
"APRECIACIÓN DE CINE","43"
"APRENDIZAJE EN ESPACIOS VIRTUALES","5"
"APTITUD FÍSICA Y SALUD","2"
"ARCHIVISTICA I","2"
"ARCHIVISTICA II","2"
"ARCHIVÍSTICA III","1"
"ARCHIVÍSTICA Y GESTIÓN DOCUMENTAL","7"
"ARCHIVOLOGÍA","1"
"ARQUEOLOGÍA AMAZÓNICA","1"
"ARQUEOLOGÍA DE CONTRATO","4"
"ARQUEOLOGÍA DE LAS AMÉRICAS","12"
"ARQUEOLOGIA DE LOS ANDES CENTRALES I","1"
"ARQUEOLOGÍA DE LOS ANDES CENTRALES I","8"
"ARQUEOLOGÍA DE LOS ANDES CENTRALES II","2"
"ARQUEOLOGÍA DE LOS ANDES CENTRALES III","1"
"ARQUEOLOGÍA DE LOS ANDES CENTRALES IV","3"
"ARQUEOLOGÍA DE LOS ANDES CENTRALES V","6"
"ARQUEOLOGÍA DE LOS ANDES CENTRALES VI","1"
"ARQUEOLOGÍA DE NORTE Y MESOAMÉRICA","3"
"ARQUEOLOGÍA DEL VIEJO MUNDO","5"
"ARQUEOLOGÍA GENERAL","9"
"ARQUEOLOGÍA Y ETNOLOGÍA AMAZÓNICA","2"
"ARQUITECTURA DE COMPUTADORAS","46"
"ARQUITECTURA DE REDES VIRTUALES (SDN/NFV)","4"
"ARQUITECTURA DE SOFTWARE","13"
