"Facultad","1","2","3","4","5","6"
"Ciencias Administrativas","327","51","6","0","0","0"
"Ciencias Biológicas","196","51","8","1","0","0"
"Ciencias Contables","824","160","22","3","0","0"
"Ciencias Económicas","530","166","48","9","0","0"
"Ciencias Físicas","261","186","46","6","0","0"
"Ciencias Matemáticas","329","198","18","0","0","0"
"Ciencias Sociales","532","169","57","12","0","0"
"Derecho y Ciencia Política","520","105","33","7","0","0"
"Educación","409","131","4","0","0","0"
"Farmacia y Bioquímica","149","28","7","0","0","0"
"Ingeniería de Sistemas e Informática","440","168","62","23","1","0"
"Ingeniería Electrónica y Eléctrica ","479","192","91","13","0","0"
"Ingeniería Geológica, Minera, Metalúrgica y Geografía","411","150","55","6","0","0"
"Ingeniería Industrial","440","226","72","8","0","0"
"Letras y Ciencias Humanas","595","156","28","8","0","0"
"Medicina","428","70","15","0","0","0"
"Medicina Veterinaria","121","14","1","0","0","0"
"Odontología","81","9","3","0","0","0"
"Psicología","191","23","5","0","0","0"
"Química e Ingeniería Química","320","86","14","1","0","1"
