"Facultad","Nombre de Programa","Repitencias"
"Ciencias Administrativas","Administración ","215"
"Ciencias Administrativas","Administración y Negocios Internacionales","105"
"Ciencias Administrativas","Administración de Turismo","127"
"Ciencias Sociales","Antropología","263"
"Ciencias Sociales","Arqueología","168"
"Letras y Ciencias Humanas","Arte","159"
"Letras y Ciencias Humanas","Auditoría Empresarial y del Sector Público","317"
"Letras y Ciencias Humanas","Bibliotecología y Ciencias de la Información","135"
"Farmacia y Bioquimica","Ciencias de los Alimentos","27"
"D.C Políticas","Ciencia Política","276"
"Ciencias Biológicas","Ciencias Biológicas","186"
"Ciencias Matemáticas","Computación Científica","199"
"Letras y Ciencias Humanas","Comunicación Social","178"
"Letras y Ciencias Humanas","Conservación y Restauración","49"
"C. Contables","Contabilidad","602"
"Letras y Ciencias Humanas","Danza","24"
"D.C Políticas","Derecho","581"
"C. Econó.","Economía","470"
"C. Econó.","Economía Internacional","287"
"C. Econó.","Economía Pública","285"
"Educación","Educación","317"
"Educación","Educación Física","366"
"Medicina","Enfermería","43"
"Ciencias Matemáticas","Estadística","127"
"Farmacia y Bioquimica","Farmacia y Bioquímica","166"
"Letras y Ciencias Humanas","Filosofía","169"
"C. Físicas","Física","326"
"Ciencias Biológicas","Genética y Biotecnología","39"
"Ciencias Sociales","Geografía","161"
"C. Contables","Gestión Tributaria","303"
"Ciencias Sociales","Historia","181"
"Química e Ingeniería Química","I. Agroindustrial","173"
"Ingeniería Geológica, Minera, Metalúrgica y Geográfica","I. Ambiental","51"
"I.E Eléctrica","I. Biomédica","55"
"Ingeniería Geológica, Minera, Metalúrgica y Geográfica","I. Civil","189"
"Ingeniería Geológica, Minera, Metalúrgica y Geográfica","E.P de Ingeniería de Minas","156"
"Ingeniería Industrial","E.P de Ingeniería de Seguridad y Salud en el Trabajo","174"
"I. S. e Infor.","I. de Sistemas","712"
"I. S. e Infor.","I. de Software","347"
"I.E Eléctrica","E.P de Ingeniería de Telecomunicaciones","237"
"I.E Eléctrica","I. Eléctrica","478"
"I.E Eléctrica","I. Electrónica","418"
"Ingeniería Geológica, Minera, Metalúrgica y Geográfica","E.P de Ingeniería Geográfica","138"
"Ingeniería Geológica, Minera, Metalúrgica y Geográfica","E.P de Ingeniería Geológica","164"
"I.Industrial","I. Industrial","710"
"C. Físicas","I. Mecá. de Fluidos","469"
"Ingeniería Geológica, Minera, Metalúrgica y Geográfica","E.P de Ingeniería Metalúrgica","202"
"Química e Ingeniería Química","E.P de Ingeniería Química","200"
"Ingeniería Industrial","E.P de Ingeniería Textil y Confecciones","256"
"Ciencias Mateméticas","E.P de Investigación Operativa","146"
"Letras y Ciencias Humanas","E.P de Lingüística","108"
"Letras y Ciencias Humanas","E.P de Literatura","201"
"Ciencias Matemáticas","E.P de Matemática","307"
"Medicina","E.P de Medicina Humana","151"
"Medicina Veterinaria","E.P de Medicina Veterinaria","152"
"Ciencias Biológicas","E.P de Microbiología y Parasitología","101"
"Medicina","E.P de Nutrición","37"
"Medicina","E.P de Obstetricia","103"
"Odontología","E.P de Odontología","108"
"Psicología","E.P de Psicología","214"
"Psicología","E.P de Psicología Organizacional y de la Gestión Humana","38"
"Química e Ingeniería Química","E.P de Química","171"
"Ciencias Sociales","E.P de Sociología","193"
"Medicina","E.P de Tecnología Médica","279"
"Farmacia y Bioquimica","E.P de Toxicología","33"
"Ciencias Sociales","E.P de Trabajo Social","123"
