"Facultad","Total de Repitencias"
"CIENCIAS ADMINISTRATIVAS","759"
"CIENCIAS BIOLÓGICAS","636"
"CIENCIAS CONTABLES","2551"
"CIENCIAS ECONÓMICAS","1689"
"CIENCIAS FÍSICAS","1651"
"CIENCIAS MATEMÁTICAS","1641"
"CIENCIAS SOCIALES","2615"
"DERECHO Y CIENCIA POLÍTICA","2050"
"EDUCACIÓN","1817"
"FARMACIA Y BIOQUÍMICA","329"
"INGENIERÍA DE SISTEMAS E INFORMÁTICA","1662"
"INGENIERÍA ELECTRÓNICA Y ELÉCTRICA","1862"
"INGENIERÍA GEOLÓGICA, MINERA, METALÚRGICA Y GEOGRÁFICA","1484"
"INGENIERÍA INDUSTRIAL","1975"
"LETRAS Y CIENCIAS HUMANAS","2370"
"MEDICINA","933"
"MEDICINA VETERINARIA","345"
"ODONTOLOGÍA","213"
"PSICOLOGÍA","424"
"QUÍMICA E INGENIERÍA QUÍMICA","902"
